P1_Pos, P1_Cash, P1_Props, P2_Pos, P2_Cash, P2_Props
================================================== Simulated Game #0 ==================================================
15, 8, [18, 8, 20, 21, 2], 11, 44, [7, 10, 14, 15, 6, 11]
21, 8, [18, 8, 20, 21, 2], 11, 44, [7, 10, 14, 15, 6, 11]
21, 8, [18, 8, 20, 21, 2], 15, 44, [7, 10, 14, 15, 6, 11]
4, 8, [18, 8, 20, 21, 2], 15, 44, [7, 10, 14, 15, 6, 11]
4, 8, [18, 8, 20, 21, 2], 0, 44, [7, 10, 14, 15, 6, 11]
9, 8, [18, 8, 20, 21, 2], 0, 44, [7, 10, 14, 15, 6, 11]
9, 8, [18, 8, 20, 21, 2], 1, 44, [7, 10, 14, 15, 6, 11]
13, 8, [18, 8, 20, 21, 2], 1, 44, [7, 10, 14, 15, 6, 11]
13, 8, [18, 8, 20, 21, 2], 4, 44, [7, 10, 14, 15, 6, 11]
17, 8, [18, 8, 20, 21, 2], 4, 44, [7, 10, 14, 15, 6, 11]
17, 8, [18, 8, 20, 21, 2], 6, 44, [7, 10, 14, 15, 6, 11]
2, 8, [18, 8, 20, 21, 2], 6, 44, [7, 10, 14, 15, 6, 11]
2, 8, [18, 8, 20, 21, 2], 12, 44, [7, 10, 14, 15, 6, 11]
6, -2, [18, 8, 20, 21, 2], 12, 44, [7, 10, 14, 15, 6, 11]
================================================== Simulated Game #2 ==================================================
0, 1500, [], 0, 1500, []
7, 1500, [], 0, 1500, []
7, 1500, [], 2, 1400, [2]
14, 1500, [], 2, 1400, [2]
14, 1500, [], 7, 1240, [2, 7]
17, 1200, [17], 7, 1240, [2, 7]
17, 1200, [17], 9, 1240, [2, 7]
19, 1200, [17], 9, 1240, [2, 7]
19, 1200, [17], 10, 1240, [2, 7]
1, 1200, [17], 10, 1240, [2, 7]
1, 1200, [17], 17, 1214, [2, 7]
8, 1020, [17, 8], 17, 1214, [2, 7]
8, 1020, [17, 8], 20, 1214, [2, 7]
15, 1020, [17, 8], 20, 1214, [2, 7]
15, 1020, [17, 8], 1, 1154, [2, 7, 1]
16, 740, [17, 8, 16], 1, 1154, [2, 7, 1]
16, 740, [17, 8, 16], 3, 1054, [2, 7, 1, 3]
20, 740, [17, 8, 16], 3, 1054, [2, 7, 1, 3]
20, 740, [17, 8, 16], 10, 854, [2, 7, 1, 3, 10]
1, 736, [17, 8, 16], 10, 854, [2, 7, 1, 3, 10]
1, 736, [17, 8, 16], 13, 614, [2, 7, 1, 3, 10, 13]
8, 736, [17, 8, 16], 13, 614, [2, 7, 1, 3, 10, 13]
8, 736, [17, 8, 16], 16, 590, [2, 7, 1, 3, 10, 13]
10, 720, [17, 8, 16], 16, 590, [2, 7, 1, 3, 10, 13]
10, 720, [17, 8, 16], 19, 270, [2, 7, 1, 3, 10, 13, 19]
15, 720, [17, 8, 16], 19, 270, [2, 7, 1, 3, 10, 13, 19]
15, 720, [17, 8, 16], 1, 270, [2, 7, 1, 3, 10, 13, 19]
0, 660, [17, 8, 16, 0], 1, 270, [2, 7, 1, 3, 10, 13, 19]
0, 660, [17, 8, 16, 0], 5, 270, [2, 7, 1, 3, 10, 13, 19]
6, 520, [17, 8, 16, 0, 6], 5, 270, [2, 7, 1, 3, 10, 13, 19]
6, 520, [17, 8, 16, 0, 6], 12, 270, [2, 7, 1, 3, 10, 13, 19]
11, 520, [17, 8, 16, 0, 6], 12, 270, [2, 7, 1, 3, 10, 13, 19]
11, 520, [17, 8, 16, 0, 6], 14, 10, [2, 7, 1, 3, 10, 13, 19, 14]
14, 498, [17, 8, 16, 0, 6], 14, 10, [2, 7, 1, 3, 10, 13, 19, 14]
14, 498, [17, 8, 16, 0, 6], 21, 10, [2, 7, 1, 3, 10, 13, 19, 14]
18, 498, [17, 8, 16, 0, 6], 21, 10, [2, 7, 1, 3, 10, 13, 19, 14]
18, 498, [17, 8, 16, 0, 6], 2, 10, [2, 7, 1, 3, 10, 13, 19, 14]
2, 492, [17, 8, 16, 0, 6], 2, 10, [2, 7, 1, 3, 10, 13, 19, 14]
2, 492, [17, 8, 16, 0, 6], 4, 10, [2, 7, 1, 3, 10, 13, 19, 14]
6, 492, [17, 8, 16, 0, 6], 4, 10, [2, 7, 1, 3, 10, 13, 19, 14]
6, 492, [17, 8, 16, 0, 6], 6, 0, [2, 7, 1, 3, 10, 13, 19, 14]
11, 492, [17, 8, 16, 0, 6], 6, 0, [2, 7, 1, 3, 10, 13, 19, 14]
11, 492, [17, 8, 16, 0, 6], 12, 0, [2, 7, 1, 3, 10, 13, 19, 14]
17, 492, [17, 8, 16, 0, 6], 12, 0, [2, 7, 1, 3, 10, 13, 19, 14]
17, 492, [17, 8, 16, 0, 6], 18, 0, [2, 7, 1, 3, 10, 13, 19, 14]
2, 486, [17, 8, 16, 0, 6], 18, 0, [2, 7, 1, 3, 10, 13, 19, 14]
2, 486, [17, 8, 16, 0, 6], 20, 0, [2, 7, 1, 3, 10, 13, 19, 14]
5, 486, [17, 8, 16, 0, 6], 20, 0, [2, 7, 1, 3, 10, 13, 19, 14]
5, 486, [17, 8, 16, 0, 6], 21, 0, [2, 7, 1, 3, 10, 13, 19, 14]
8, 486, [17, 8, 16, 0, 6], 21, 0, [2, 7, 1, 3, 10, 13, 19, 14]
8, 486, [17, 8, 16, 0, 6], 5, 0, [2, 7, 1, 3, 10, 13, 19, 14]
13, 466, [17, 8, 16, 0, 6], 5, 0, [2, 7, 1, 3, 10, 13, 19, 14]
